subids,URSI
0014,M80374029
0015,M80359226
0018,M80313660
0023,M80338269
0024,M80309706
0029,M80341407
0032,M80317666
0038,M80341717
0051,M80388445
0061,M80316547
0067,M80358718
0072,M80395867
0079,M80302134
0085,M80396900
0087,M80373165
0096,M80316833
0102,M80336524
0103,M80318592
0104,M80304717
0108,M80399265
0112,M80326076
0113,M80399337
0115,M80375143
0117,M80352349
0125,M80304426
0142,M80382492
0146,M80336871
0147,M80326904
0148,M80344484
0165,M80318234
0172,M80395860
0192,M80320091
0194,M80351906
0195,M80316037
0219,M80356762
0221,M80353545
0228,M80387585
0248,M80358953
0262,M80390618
0295,M80358716
0319,M80304397
0324,M80387602
0330,M80328211
0339,M80316805
0341,M80303079
0348,M80383944
0352,M80328207
0364,M80349405
0378,M80311855
0389,M80355749
0416,M80399971
0431,M80303770
0434,M80341831
0450,M80349728
0460,M80375912
0464,M80334610
0477,M80306684
0501,M80321202
0535,M80366570
0544,M80375510
0545,M80340554
0575,M80344098
0579,M80391633
0586,M80373984
0598,M80322778
0599,M80310618
0602,M80321756
0604,M80354222
0605,M80384594
0607,M80350874
0608,M80318910
0651,M80376269
0664,M80370264
0666,M80305915
0672,M80304738
0676,M80348133
0693,M80317101
0699,M80316294
0703,M80335769
0704,M80363223
0711,M80393391
0713,M80336970
0743,M80362938
0759,M80398382
0771,M80318052
0774,M80365070
0782,M80310232
0791,M80326819
0792,M80347052
0796,M80389796
0814,M80381069
0818,M80354166
0832,M80348570
0837,M80309434
0843,M80344908
0893,M80357658
0904,M80356200
0909,M80397077
0918,M80337869
0919,M80385355
0937,M80317076
0938,M80395778
0950,M80335113
0962,M80338105
0976,M80321641
0985,M80392546
0986,M80309149
0992,M80369669
1004,M80384493
1015,M80336833
1027,M80362227
1029,M80394681
1036,M80384692
1078,M80352006
1083,M80340863
1084,M80363982
1087,M80333899
1089,M80354415
1099,M80306284
1102,M80311434
1103,M80358852
1105,M80390470
1108,M80302799
1122,M80366943
1126,M80336083
1136,M80395521
1141,M80387207
1154,M80306091
1159,M80362430
1160,M80328328
1169,M80310278
1181,M80308229
1211,M80389422
1214,M80307015
1231,M80372078
1234,M80352012
1239,M80341498
1256,M80396887
1268,M80337218
1277,M80347121
1294,M80385201
1302,M80323778
1319,M80343725
9001,M80378427
9002,M80369881
9003,M80362271
9004,M80305800
9005,M80303741
9006,M80324276
9007,M80374686
9008,M80364787
9009,M80321120
9010,M80325092
9011,M80394858
9013,M80321700
9014,M80332055
9016,M80399870
9018,M80386115
9022,M80326848
9023,M80365873
9024,M80395955
9025,M80305453
9027,M80312954
9028,M80371745
9035,M80331231
9036,M80358201
9039,M80357200
9041,M80303260
9042,M80346209
9043,M80398666
9046,M80345974
9047,M80313658
9048,M80351764
9049,M80385274
9050,M80370429
